PROLIFIC_PID,Directness (Wish) 1-5,Directness (Outcome) 1-5,Directness (Outcome Elab) 1-5,Directness (Wish) 1-5,Directness (Outcome) 1-5,Directness (Outcome Elab) 1-5,Specificity (Wish) 1-5,Specificity (Outcome) 1-5,Specificity (Outcome Elab) 1-5,Specificity (Wish) 1-5,Specificity (Outcome) 1-5,Specificity (Outcome Elab) 1-5,,,,,,,
558af269fdf99b7dfef4d7bd,2,2,5,2,2,5,2,5,5,2,5,5,,,,,,,
55b1add5fdf99b6731f04c5a,5,5,5,5,5,5,4,3,5,4,3,5,,,,,,,
5626a6cfddff3c0011bcd3d8,2,5,5,2,5,5,3,5,4,3,5,4,,,,,,,
56a5da6181a8ca000d3e7f40,2,5,5,2,5,5,3,3,4,3,3,4,,,,,,,
56df2ea2452e1300056bc7df,2,1,1,2,1,1,2,1,2,2,1,2,,,,,,,
57237767844581001202947a,2,5,3,2,5,3,2,4,4,2,4,4,,,,,,,
57b771677bcf1a00013f2ba8,2,3,3,2,3,3,2,3,5,2,3,5,,,,,,,
58ae2c4ed6a2220001179f7c,5,5,5,5,5,5,4,4,5,4,4,5,,,,,,,
599b15bcd0bcd10001dd92d8,2,1,5,2,1,5,1,3,5,1,3,5,,,,,,,
59f78f90a764fc000135f6e6,2,1,3,2,1,3,3,2,5,3,2,5,,,,,,,
5a381de00006450001bf2691,2,2,5,2,2,5,2,2,5,2,2,5,,,,,,,
5a7a793f19042000015595cf,2,3,3,2,3,3,2,3,3,2,3,3,,,,,,,
5a8e6117b093f80001a83119,2,1,n/a,2,1,N/A,2,1,n/a,2,2,N/A,,,,,,,
5ae25791af72e0000127b8f7,2,1,2,2,1,2,3,2,5,3,2,5,,,,,,,
5aea90a95c78ab000105cd36,2,1,3,2,1,3,3,4,4,3,4,4,,,,,,,
5aeb42cf53336d00016f0617,2,5,5,2,5,5,4,2,4,4,2,4,,,,,,,
5b9866e4813d530001c33ce7,2,5,2,2,5,2,1,4,4,1,4,4,,,,,,,
5c0735ac0ea1410001a9d1c7,2,1,2,2,1,2,3,2,5,3,2,5,,,,,,,
5c11ec9e4e838900017ce044,2,2,5,2,2,5,1,4,3,1,4,3,,,,,,,
5c288c5889f035000174c07d,3,2,5,3,2,5,3,3,4,3,3,4,,,,,,,
5c35707abc644400013344c3,3,3,5,3,3,5,4,2,4,4,2,4,,,,,,,
5c3e60aa38ac8200017b99a7,5,5,5,5,5,5,2,2,3,2,2,3,,,,,,,
5c3e82e91580e9000122d204,2,5,5,2,5,5,1,3,5,1,3,5,,,,,,,
5c55f4acb7cf140001d3689b,3,3,1,3,3,1,4,4,1,4,4,1,,,,,,,
5c5b788ccfc9bc0001c59086,2,3,5,2,3,5,3,4,4,3,4,4,,,,,,,
5c6b4a3da5064f0001e8b0b1,2,1,3,2,1,3,3,2,5,3,2,5,,,,,,,
5c6d55f1e82c7e00011e21d3,2,1,1,2,1,1,2,1,2,2,1,2,,,,,,,
5ca76940b73600000157b4f1,2,5,3,2,5,3,5,2,5,5,2,5,,,,,,,
5ceb685da7afdc00166f8391,2,2,3,2,2,3,4,3,5,4,3,5,,,,,,,
5ceed35abc1ea40018403f04,2,1,3,2,1,3,3,1,5,3,1,5,,,,,,,
